R610;Vlacuhovo;4x
M601;Vlacuhovo;2x
L601;Vlacuhovo;2x
L602;Vlacuhovo;2x
L603;Vlacuhovo;2x
L604;Vlacuhovo;2x
L605;Vlacuhovo;2x
L606;Vlacuhovo;2x
L607;Vlacuhovo;2x
L608;Vlacuhovo;2x
L609;Vlacuhovo;2x
L610;Vlacuhovo;2x
HMAC601;Vlacuhovo;3x
HMAC602;Vlacuhovo;3x
HMAC603;Vlacuhovo;3x
HMAC604;Vlacuhovo;4x
HMAC605;Vlacuhovo;4x
HMAC606;Vlacuhovo;3x
HMAC607;Vlacuhovo;3x
HMAC608;Vlacuhovo;3x
HMAC609;Vlacuhovo;3x
HMAC610;Vlacuhovo;3x
HMAC611;Vlacuhovo;3x
M701;Jasenie;3x
M702;Jasenie;3x
M703;Jasenie;3x
M704;Jasenie;3x
M705;Jasenie;3x
M706;Jasenie;3x
M707;Jasenie;3x
M708;Jasenie;3x
M709;Jasenie;3x
M710;Jasenie;3x
M711;Jasenie;3x
M712;Jasenie;3x
L701;Jasenie;2x
L702;Jasenie;3x
L703;Jasenie;2x
L704;Jasenie;2x
L705;Jasenie;2x
L706;Jasenie;2x
L707;Jasenie;2x
L708;Jasenie;2x
L709;Jasenie;2x
L710;Jasenie;2x
R701;Jasenie;3x
R702;Jasenie;3x
R703;Jasenie;3x
R704;Jasenie;3x
R705;Jasenie;3x
R706;Jasenie;3x
R707;Jasenie;3x
R708;Jasenie;3x
R709;Jasenie;3x
R710;Jasenie;3x
L801;Jakub;2x
L802;Jakub;2x
L803;Jakub;2x
L804;Jakub;2x
L805;Jakub;2x
L806;Jakub;2x
L807;Jakub;2x
L808;Jakub;2x
L809;Jakub;2x
L810;Jakub;2x
HMAC 801;Jakub;3x
HMAC 802;Jakub;3x
HMAC 803;Jakub;3x
HMAC 804;Jakub;4x
HMAC 805;Jakub;3x
HMAC 806;Jakub;3x
HMAC 807;Jakub;3x
HMAC 808;Jakub;3x
M801;Jakub;2x
M802;Jakub;3x
M803;Jakub;3x
M804;Jakub;2x
M805;Jakub;2x
M806;Jakub;3x
R801;Jakub;4x
R802;Jakub;3x
R803;Jakub;3x
R804;Jakub;3x
R805;Jakub;3x
R806;Jakub;3x
R807;Jakub;3x
L901;Horná Lehota;2x
L902;Horná Lehota;2x
L903;Horná Lehota;2x
L904;Horná Lehota;2x
L905;Horná Lehota;2x
L906;Horná Lehota;2x
L907;Horná Lehota;2x
L908;Horná Lehota;2x
L909;Horná Lehota;2x
L910;Horná Lehota;3x
L911;Horná Lehota;2x
L912;Horná Lehota;2x
HMAC 901;Horná Lehota;4x
M901;Horná Lehota;3x
M902;Horná Lehota;3x
M903;Horná Lehota;3x
M904;Horná Lehota;3x
M905;Horná Lehota;3x
M906;Horná Lehota;3x
R901;Horná Lehota;4x
R902;Horná Lehota;3x
R903;Horná Lehota;3x
R904;Horná Lehota;3x
R905;Horná Lehota;2x
R906;Horná Lehota;4x
R907;Horná Lehota;3x
R908;Horná Lehota;3x
R909;Horná Lehota;3x
R910;Horná Lehota;3x
R911;Horná Lehota;4x
R912;Horná Lehota;4x
R913;Horná Lehota;3x
L301;Rosental, Baden;2x
L302;Rosental, Baden;2x
L303;Rosental, Baden;2x
L304;Rosental, Baden;2x
L305;Rosental, Baden;2x
L306;Rosental, Baden;2x
L307;Rosental, Baden;2x
L308;Rosental, Baden;2x
L309;Rosental, Baden;2x
L310;Rosental, Baden;2x
L311;Rosental, Baden;2x
L312;Rosental, Baden;2x
M301;Rosental, Baden;2x
M302;Rosental, Baden;2x
M303;Rosental, Baden;2x
M304;Rosental, Baden;2x
M305;Rosental, Baden;2x
M306;Rosental, Baden;2x
M307;Rosental, Baden;2x
M308;Rosental, Baden;2x
M309;Rosental, Baden;2x
M310;Rosental, Baden;2x
M311;Rosental, Baden;2x
M312;Rosental, Baden;2x
M313;Rosental, Baden;2x
M314;Rosental, Baden;2x
M315;Rosental, Baden;2x
M316;Rosental, Baden;2x
M317;Rosental, Baden;2x
HMED301;Rosental, Baden;2x
