samp_target,disk_radius,tot_radius,fr_length,fr_width,fr_pos,styles,ploidy
3,1.57,5.05,9.68,9.79,5.08,2.0,2.0
3,1.51,4.27,8.3,8.3,4.8,2.0,2.0
3,1.68,5.08,9.83,9.76,5.54,2.0,2.0
3,1.52,4.62,8.92,9.0,4.95,2.0,2.0
3,1.75,5.03,9.63,9.26,4.4,2.0,2.0
3,1.72,4.57,9.55,8.43,5.52,2.0,2.0
3,1.78,4.36,9.0,8.08,5.06,2.0,2.0
3,1.62,4.49,8.56,8.59,4.22,2.0,2.0
3,1.76,4.61,9.67,8.91,4.62,2.0,2.0
3,1.89,5.08,9.99,9.99,4.77,2.0,2.0
3,1.94,5.46,10.75,10.66,6.22,2.0,2.0
3,1.8,5.16,10.41,9.97,5.83,2.0,2.0
3,1.81,5.58,11.1,10.53,5.28,2.0,2.0
3,1.51,4.3,9.5,8.15,4.95,2.0,2.0
3,1.49,4.66,9.49,8.66,4.97,3.0,2.0
3,1.7,5.03,10.29,9.91,5.32,2.0,2.0
3,1.68,5.31,10.38,10.44,5.62,2.0,2.0
3,1.73,5.37,10.33,10.43,5.21,2.0,2.0
3,1.89,5.1,10.15,9.75,5.15,2.0,2.0
