samp_target,disk_radius,tot_radius,fr_length,fr_width,fr_pos,styles,ploidy
4,1.69,5.38,12.64,10.69,6.25,2.0,4.0
4,1.54,4.93,12.76,10.01,6.27,1.0,4.0
4,1.62,4.52,12.21,8.93,6.04,1.0,4.0
4,1.59,4.6,12.72,9.26,6.78,1.0,4.0
4,1.37,4.8,13.55,9.78,6.89,1.0,4.0
4,1.68,5.01,12.28,10.47,5.25,1.0,4.0
4,1.48,4.86,12.81,9.97,4.31,1.0,4.0
4,1.52,4.94,12.91,10.41,6.63,1.0,4.0
4,1.65,4.88,13.47,9.66,6.24,1.0,4.0
4,1.67,4.94,13.96,9.11,8.31,1.0,4.0
3,1.56,3.95,9.41,7.83,4.9,2.0,2.0
3,1.53,3.75,9.88,7.16,3.75,2.0,2.0
3,1.6,4.45,9.25,8.26,5.33,2.0,2.0
3,1.76,4.53,9.83,8.47,4.49,2.0,2.0
3,1.64,4.28,10.92,8.42,3.98,2.0,2.0
3,1.65,4.39,9.44,9.11,4.38,2.0,2.0
3,1.57,4.22,10.43,8.7,5.4,2.0,2.0
3,1.46,4.88,10.63,9.87,4.79,2.0,2.0
3,1.62,3.96,9.33,7.63,5.24,2.0,2.0
3,1.73,4.45,9.41,9.04,4.78,2.0,2.0
3,1.73,4.67,10.4,9.36,5.76,2.0,2.0
3,1.76,4.24,9.59,9.04,4.72,2.0,2.0
3,1.81,4.82,10.07,9.32,5.62,2.0,2.0
3,1.54,4.61,10.07,9.29,5.13,2.0,2.0
3,1.63,4.47,10.25,9.16,6.07,2.0,2.0
3,1.72,4.5,10.49,8.44,5.72,3.0,2.0
3,1.6,4.58,11.48,9.33,6.0,2.0,2.0
3,1.78,4.2,9.46,8.61,4.09,2.0,2.0
3,2.12,5.16,11.12,10.39,4.78,3.0,2.0
3,1.72,4.26,8.83,8.82,5.54,2.0,2.0
3,1.55,3.96,7.43,7.83,2.88,2.0,2.0
3,1.63,4.18,7.99,8.77,4.2,2.0,2.0
3,1.85,4.19,7.7,7.57,4.39,2.0,2.0
3,1.58,4.04,8.07,7.88,5.56,2.0,2.0
3,1.35,4.22,8.43,8.06,6.16,2.0,2.0
3,1.65,3.87,7.74,7.84,5.24,2.0,2.0
3,1.76,4.28,8.46,8.44,5.23,2.0,2.0
3,1.5,3.54,7.5,6.62,3.15,2.0,2.0
3,1.81,4.74,8.84,8.85,5.56,2.0,2.0
4,1.08,3.89,9.72,7.72,5.66,1.0,3.0
4,1.41,3.81,9.5,7.16,4.58,1.0,3.0
4,1.39,4.2,10.06,8.18,4.92,1.0,3.0
4,1.37,3.61,10.13,7.02,4.03,1.0,3.0
4,1.25,3.31,9.22,6.74,3.5,1.0,3.0
4,1.27,3.96,9.53,7.28,5.09,1.0,3.0
4,1.31,3.82,9.99,7.96,4.83,1.0,3.0
4,1.28,3.5,10.36,6.84,4.56,1.0,3.0
4,1.44,3.54,9.84,6.64,3.65,1.0,3.0
4,1.49,3.39,9.36,6.46,4.69,1.0,3.0
4,1.25,3.95,11.24,7.78,6.04,1.0,3.0
4,1.24,4.32,10.45,7.12,4.14,1.0,3.0
4,1.47,4.45,10.41,8.75,5.94,1.0,3.0
4,1.23,3.69,10.8,7.74,5.48,1.0,3.0
4,1.25,3.45,10.39,6.69,6.37,1.0,3.0
4,1.39,4.31,11.14,8.39,4.67,1.0,3.0
4,1.44,4.07,9.67,7.56,4.02,1.0,3.0
4,1.38,4.15,11.66,8.77,6.35,1.0,3.0
4,1.44,4.13,10.66,7.87,4.71,1.0,4.0
4,1.38,4.72,12.15,9.35,7.22,1.0,4.0
4,1.44,4.76,12.16,9.15,5.9,1.0,4.0
4,1.35,4.39,11.83,8.7,6.36,1.0,4.0
4,1.43,4.02,8.22,7.92,4.4,2.0,4.0
4,1.48,5.14,11.93,9.72,5.2,1.0,4.0
4,1.49,4.91,11.74,9.17,5.47,1.0,4.0
4,1.52,3.21,7.78,6.5,2.97,1.0,4.0
5,1.01,4.04,9.39,8.24,5.04,1.0,2.0
5,1.33,4.43,9.42,8.59,4.54,1.0,2.0
5,1.04,2.94,6.61,5.55,3.04,1.0,2.0
5,1.31,3.26,7.81,6.03,4.34,1.0,2.0
5,1.24,4.5,10.57,8.75,5.08,1.0,2.0
5,1.19,3.9,9.33,7.64,3.93,1.0,2.0
5,1.14,3.49,7.69,6.55,4.22,1.0,2.0
5,1.03,2.88,6.86,6.17,3.62,1.0,2.0
5,1.12,4.02,8.85,7.09,3.86,1.0,2.0
5,0.92,2.99,7.31,5.52,4.12,1.0,2.0
4,1.25,3.94,10.61,7.99,6.54,1.0,3.0
4,1.62,3.92,11.75,7.24,7.26,1.0,3.0
4,1.31,3.86,10.58,7.57,6.49,1.0,3.0
4,1.44,3.9,11.08,7.33,6.95,1.0,3.0
4,1.23,3.94,10.74,7.37,4.7,1.0,3.0
4,1.35,4.0,9.96,7.11,6.04,1.0,3.0
4,1.29,3.74,10.8,7.47,5.6,1.0,3.0
4,1.37,3.85,11.92,8.01,8.18,1.0,3.0
4,1.52,3.57,10.33,6.66,6.24,1.0,3.0
4,1.15,3.9,9.79,7.0,5.27,1.0,3.0
4,1.37,4.17,10.84,8.1,5.49,1.0,3.0
4,1.28,3.86,10.86,8.42,7.17,1.0,3.0
4,1.27,4.39,10.94,9.04,5.74,1.0,3.0
4,1.39,3.96,10.0,7.59,4.99,1.0,3.0
4,1.52,4.29,10.83,8.8,5.24,1.0,3.0
4,1.33,4.14,10.86,8.32,7.92,1.0,3.0
4,1.66,4.55,10.42,8.82,6.04,2.0,3.0
4,1.48,4.24,10.64,8.52,5.09,1.0,3.0
4,1.37,4.28,11.26,7.63,5.11,1.0,3.0
4,1.49,4.82,11.47,9.28,6.63,1.0,3.0
4,1.53,4.71,11.42,8.37,5.16,1.0,3.0
4,1.43,3.84,10.23,7.18,5.63,1.0,3.0
4,1.42,3.97,8.87,7.75,6.16,1.0,3.0
4,1.56,4.11,11.62,8.02,6.68,1.0,3.0
4,1.59,4.66,11.71,8.73,8.23,1.0,3.0
4,1.43,4.3,10.77,8.13,6.32,1.0,3.0
4,1.47,4.42,12.77,7.49,5.83,1.0,3.0
4,1.47,4.35,11.76,8.48,6.46,1.0,3.0
4,1.43,4.32,12.23,7.68,9.09,1.0,3.0
4,1.63,4.43,12.65,7.92,6.72,1.0,3.0
4,1.45,4.05,11.61,8.18,6.6,1.0,3.0
4,1.34,4.05,12.13,7.86,6.83,1.0,3.0
4,1.55,4.42,12.71,8.51,7.34,1.0,3.0
4,1.22,4.42,12.05,8.93,6.0,1.0,3.0
4,1.57,4.55,12.3,8.64,7.12,1.0,3.0
4,1.66,4.66,11.28,9.02,6.39,1.0,3.0
4,1.61,4.17,9.07,8.12,4.58,1.0,3.0
4,1.37,4.11,9.93,8.24,5.4,1.0,3.0
4,1.28,4.11,9.77,8.26,4.61,1.0,3.0
4,1.65,4.5,12.04,9.29,6.15,1.0,3.0
4,1.67,4.25,10.17,8.0,6.77,1.0,3.0
4,1.43,3.14,10.46,6.06,5.65,1.0,3.0
4,1.52,4.49,12.15,8.87,5.33,1.0,3.0
4,1.77,4.25,10.75,8.35,4.53,1.0,3.0
4,1.51,4.47,10.04,8.91,4.77,2.0,3.0
5,1.07,3.65,11.39,7.55,6.17,1.0,2.0
5,0.91,3.67,10.53,6.89,7.1,1.0,2.0
5,1.0,4.1,12.12,7.46,7.04,1.0,2.0
5,1.08,3.71,11.14,7.71,7.35,1.0,2.0
5,1.14,3.94,11.49,7.64,7.19,1.0,2.0
5,1.07,3.24,10.72,6.79,6.79,1.0,2.0
5,0.76,3.68,12.24,7.92,6.7,1.0,2.0
5,1.12,4.07,10.9,7.4,6.04,1.0,2.0
5,0.94,3.54,8.99,6.8,4.54,1.0,2.0
5,0.91,3.82,10.39,7.4,4.95,1.0,2.0
5,1.31,4.76,10.07,9.48,5.92,1.0,2.0
5,1.11,4.51,10.09,8.68,5.56,1.0,2.0
5,0.94,4.54,9.34,9.01,5.36,1.0,2.0
5,0.93,3.99,7.53,7.7,4.03,1.0,2.0
5,0.93,4.02,8.29,7.76,3.96,1.0,2.0
5,1.1,3.78,7.46,7.07,3.66,1.0,2.0
5,1.13,4.01,8.37,7.94,4.58,1.0,2.0
5,1.13,4.17,7.33,8.12,3.67,1.0,2.0
5,1.18,4.35,8.7,8.09,4.16,1.0,2.0
5,1.19,4.03,8.55,7.81,4.16,1.0,2.0
5,1.41,4.57,10.96,8.57,5.61,1.0,2.0
5,1.23,4.15,10.0,7.99,5.92,1.0,2.0
5,0.93,3.89,8.58,7.72,4.01,1.0,2.0
5,1.09,4.12,10.15,8.43,5.33,1.0,2.0
5,0.96,4.11,9.99,8.08,5.59,1.0,2.0
5,1.19,3.81,9.3,7.32,5.79,1.0,2.0
