"cluster" "disk_radius" "tot_radius" "fr_length" "fr_width" "fr_pos" "styles" "ploidy"
"1" 1 1.16447368421053 3.78684210526316 8.91644736842105 7.35453947368421 4.66157894736842 1.05263157894737 2.21710526315789
"2" 2 1.51407258064516 4.44016129032258 9.3820564516129 8.66342741935484 5.00108870967742 2.04032258064516 2.00806451612903
"3" 3 1.48307692307692 4.43269230769231 11.3224358974359 8.69923076923077 6.03435897435897 1.07692307692308 3.17948717948718
